Date,Product_Name,Category,Quantity_Sold,Cost_Price,Selling_Price,Profit,Remaining_Stock
1/24/2022,Ladies Flats Gold,Ladies,6,858,1734,5258,36
9/2/2022,Ladies Heels Red,Ladies,9,1235,2556,11884,33
4/7/2022,Sandals Summer,Casual,5,397,942,2723,14
1/27/2024,Jogging Shoes Puma,Sports,6,2530,3968,8628,63
6/11/2023,Formal Pump Ladies,Ladies,7,1554,2775,8552,112
2/26/2024,Running Shoes Nike Air,Sports,5,2874,4949,10375,21
3/21/2024,Casual Loafers Brown,Casual,11,868,1939,11781,53
10/16/2024,Ethnic Mojri,Ethnic,,538,961,6345,56
11/17/2022,Ladies Flats Gold,Ladies,9,810,1570,6841,77
12/25/2024,Kids Sneakers Blue,Kids,,557,1243,686,64
10/4/2023,Kids Formal Black,Kids,11,704,1368,7304,56
9/9/2022,Ladies Flats Gold,Ladies,3,748,1630,2647,49
11/11/2024,Casual Loafers Brown,Casual,11,920,1928,11083,60
3/1/2024,Kids Sneakers Blue,Kids,3,609,1241,1897,26
10/3/2024,Casual Canvas White,Casual,3,516,1124,1824,94
4/1/2022,Ladies Flats Gold,Ladies,15,796,1724,13909,80
11/15/2024,Boots Winter Leather,Formal,15,3600,5792,32873,107
6/20/2022,Jogging Shoes Puma,Sports,14,2450,4188,24342,26
2/23/2024,Jogging Shoes Puma,Sports,1,2688,4317,,64
11/17/2024,Boots Winter Leather,Formal,9,3374,6009,23716,83
9/14/2022,Kids Sneakers Blue,,1,597,1310,713,139
3/4/2023,Sandals Summer,Casual,6,382,912,3180,26
1/29/2024,Ethnic Mojri,Ethnic,4,532,988,1823,
5/23/2023,Sports Adidas Ultra,Sports,12,3345,5693,28174,105
4/20/2024,Kids Formal Black,Kids,3,711,1402,2075,63
5/16/2022,Jogging Shoes Puma,Sports,8,2307,4358,16409,116
5/11/2022,Kids Formal Black,Kids,8,690,1433,5948,42
9/4/2022,Kids Formal Black,Kids,8,703,1477,6195,31
7/5/2024,Jogging Shoes Puma,Sports,11,2374,4051,18453,68
8/20/2023,Sandals Summer,Casual,7,379,919,3773,92
5/1/2022,Boots Winter Leather,Formal,7,3656,6352,18872,65
11/20/2022,Formal Pump Ladies,Ladies,4,1580,2878,5191,111
5/20/2023,Casual Loafers Brown,Casual,12,844,1969,13506,42
6/1/2023,Kids Formal Black,Kids,,684,1380,,124
3/26/2022,Ladies Heels Red,Ladies,13,1135,2639,19551,84
4/3/2023,Boots Winter Leather,Formal,6,,6126,16017,37
6/26/2023,  Boots Winter Leather  ,Formal,10,3734,5962,22275,55
1/26/2022,Running Shoes Nike Air,Sports,14,2971,4664,23703,98
6/25/2023,Kids Sneakers Blue,Kids,13,606,1169,7328,30
2/21/2023,Sports Adidas Ultra,Sports,14,2972,5208,31307,36
11/18/2022,Formal Oxford Black,Formal,13,1794,3491,22061,14
7/21/2023,Ladies Flats Gold,Ladies,4,833,1602,3076,129
6/29/2023,Formal Oxford Black,Formal,5,1819,3342,7612,64
9/1/2024,Formal Oxford Black,Formal,13,1906,3491,20599,71
1/3/2023,Ethnic Mojri,Ethnic,6,530,970,2637,48
5/28/2022,Casual Loafers Brown,Casual,11,946,1730,8625,26
3/31/2024,Boots Winter Leather,Formal,13,3348,6308,38479,62
7/29/2023,  Ethnic Mojri  ,Ethnic,7,514,1050,3752,41
12/20/2023,Casual Loafers Brown,Casual,9,946,1930,8851,56
5/13/2024,Running Shoes Nike Air,Sports,1,2646,4482,1836,97
12/7/2023,Kids Sneakers Blue,Kids,12,,1296,8145,118
3/30/2024,Formal Oxford Black,Formal,8,1908,3435,12216,
1/24/2022,Ethnic Mojri,Ethnic,2,522,983,921,18
5/3/2022,Jogging Shoes Puma,Sports,14,2560,,22347,51
2/23/2024,Kids Formal Black,Kids,15,686,1401,10731,145
1/11/2023,Sports Adidas Ultra,Sports,1,2947,5031,2084,19
12/29/2023,Running Shoes Nike Air,Sports,11,2596,4655,22653,22
